ts_unix_ms,ok
1779520977999,1
1779520978229,1
1779520978459,1
1779520978692,1
1779520978921,1
1779520979152,1
1779520979381,1
1779520979611,1
1779520979842,1
1779520980070,1
1779520980302,1
1779520980531,1
1779520980759,1
1779520980985,1
1779520981216,1
1779520981446,1
1779520981676,1
1779520981907,1
1779520982137,1
1779520982369,1
1779520982598,1
1779520982829,1
1779520983062,1
1779520983291,1
1779520983522,1
1779520983752,1
1779520983982,1
1779520984212,1
1779520984444,1
1779520984675,1
1779520984905,1
1779520985134,1
1779520985367,1
1779520985596,1
1779520985828,1
1779520986057,1
1779520986289,1
1779520986525,1
1779520986755,1
1779520986983,1
1779520987213,1
1779520987444,1
1779520987672,1
1779520987899,1
1779520988129,1
1779520988360,1
1779520988590,1
1779520988820,1
1779520989050,1
1779520989280,1
1779520989508,1
1779520989738,1
1779520989961,1
1779520990188,1
1779520990415,1
1779520990643,1
1779520990871,1
1779520991099,1
1779520991330,1
1779520991559,1
1779520991788,1
1779520992017,1
1779520992245,1
1779520992474,1
1779520992709,1
1779520992939,1
1779520993168,1
1779520993397,1
1779520993630,1
1779520993860,1
1779520994088,1
1779520994316,1
1779520994546,1
1779520994775,1
1779520995005,1
1779520995234,1
1779520995463,1
1779520995691,1
1779520995920,1
1779520996151,1
1779520996380,1
1779520996610,1
1779520996840,1
1779520997068,1
1779520997303,1
1779520997533,1
1779520997763,1
1779520997992,1
1779520998220,1
1779520998449,1
1779520998677,1
1779520998904,1
1779520999132,1
1779520999359,1
1779520999588,1
1779520999817,1
1779521000046,1
1779521000272,1
1779521000508,1
1779521000740,1
1779521000972,1
1779521001199,1
1779521001428,1
1779521001655,1
1779521001887,1
1779521002117,1
1779521002344,1
1779521002572,1
1779521002801,1
1779521003032,1
1779521003261,1
1779521003488,1
1779521003718,1
1779521003947,1
1779521004174,1
1779521004404,1
1779521004632,1
1779521004861,1
1779521005090,1
1779521005315,1
1779521005542,1
1779521005769,1
1779521005996,1
1779521006226,1
1779521006452,1
1779521006679,1
1779521006905,1
1779521007128,1
1779521007354,1
1779521007581,1
1779521007810,1
1779521008041,1
1779521008278,1
1779521008508,1
1779521008742,1
1779521008973,1
1779521009206,1
1779521009437,1
1779521009665,1
1779521009896,1
1779521010125,1
1779521010353,1
1779521010579,1
1779521010807,1
1779521011036,1
1779521011264,1
1779521011492,1
1779521011724,1
1779521011953,1
1779521012181,1
1779521012410,1
1779521012638,1
1779521012870,1
1779521013099,1
1779521013329,1
1779521013558,1
1779521013788,1
1779521014017,1
1779521014253,1
1779521014485,1
1779521014713,1
1779521014944,1
1779521015173,1
1779521015401,1
1779521015629,1
1779521015859,1
1779521016088,1
1779521016318,1
1779521016547,1
1779521016778,1
1779521017007,1
1779521017235,1
1779521017464,1
1779521017701,1
1779521017931,1
1779521018163,1
1779521018395,1
1779521018627,1
1779521018858,1
1779521019088,1
1779521019317,1
1779521019550,1
1779521019781,1
1779521020009,1
1779521020241,1
1779521020471,1
1779521020700,1
1779521020929,1
1779521021158,1
1779521021389,1
1779521021618,1
1779521021849,1
1779521022079,1
1779521022307,1
1779521022536,1
1779521022765,1
1779521022996,1
1779521023225,1
1779521023455,1
1779521023684,1
1779521023924,1
1779521024155,1
1779521024385,1
1779521024619,1
1779521024851,1
1779521025081,1
1779521025311,1
1779521025541,1
1779521025770,1
1779521026001,1
1779521026231,1
1779521026463,1
1779521026691,1
1779521026921,1
1779521027150,1
1779521027379,1
1779521027611,1
1779521027841,1
1779521028071,1
1779521028301,1
1779521028534,1
1779521028763,1
1779521028992,1
1779521029225,1
1779521029455,1
1779521029686,1
1779521029916,1
1779521030136,1
1779521030370,1
1779521030601,1
1779521030835,1
1779521031068,1
1779521031300,1
1779521031531,1
1779521031762,1
1779521031996,1
1779521032224,1
1779521032454,1
1779521032682,1
1779521032913,1
1779521033142,1
1779521033371,1
1779521033600,1
1779521033835,1
1779521034065,1
1779521034296,1
1779521034529,1
1779521034761,1
1779521034990,1
1779521035219,1
1779521035449,1
1779521035681,1
1779521035915,1
1779521036143,1
1779521036372,1
1779521036604,1
1779521036833,1
1779521037067,1
1779521037297,1
1779521037526,1
1779521037760,1
1779521037988,1
1779521038221,1
1779521038450,1
1779521038679,1
1779521038909,1
1779521039138,1
1779521039369,1
1779521039608,1
1779521039839,1
1779521040067,1
1779521040296,1
1779521040527,1
1779521040758,1
1779521040988,1
1779521041218,1
1779521041447,1
1779521041676,1
1779521041906,1
1779521042136,1
1779521042367,1
1779521042600,1
1779521042828,1
1779521043057,1
1779521043285,1
1779521043515,1
1779521043747,1
1779521043979,1
1779521044209,1
1779521044440,1
1779521044670,1
1779521044899,1
1779521045130,1
1779521045359,1
1779521045588,1
1779521045818,1
1779521046047,1
1779521046272,1
1779521046492,1
1779521046718,1
1779521046947,1
1779521047181,1
1779521047409,1
1779521047632,1
1779521047861,1
1779521048089,1
1779521048319,1
1779521048550,1
1779521048779,1
1779521049010,1
1779521049240,1
1779521049470,1
1779521049701,1
1779521049934,1
1779521050165,1
1779521050398,1
1779521050630,1
1779521050861,1
1779521051090,1
1779521051320,1
1779521051550,1
1779521051779,1
1779521052009,1
1779521052239,1
1779521052469,1
1779521052699,1
1779521052929,1
1779521053159,1
1779521053389,1
1779521053622,1
1779521053852,1
1779521054084,1
1779521054314,1
1779521054544,1
1779521054772,1
1779521055003,1
1779521055232,1
1779521055461,1
1779521055692,1
1779521055921,1
1779521056153,1
1779521056382,1
1779521056609,1
1779521056840,1
1779521057070,1
1779521057300,1
1779521057530,1
1779521057759,1
1779521057989,1
1779521058220,1
