ts_unix_ms,ok
1779536990405,1
1779536990635,1
1779536990866,1
1779536991101,1
1779536991330,1
1779536991558,1
1779536991787,1
1779536992017,1
1779536992244,1
1779536992475,1
1779536992706,1
1779536992941,1
1779536993174,1
1779536993404,1
1779536993634,1
1779536993863,1
1779536994094,1
1779536994322,1
1779536994550,1
1779536994780,1
1779536995009,1
1779536995242,1
1779536995471,1
1779536995703,1
1779536995935,1
1779536996164,1
1779536996397,1
1779536996627,1
1779536996877,1
1779536997105,1
1779536997324,1
1779536997553,1
1779536997780,1
1779536998013,1
1779536998238,1
1779536998457,1
1779536998679,1
1779536998898,1
1779536999117,1
1779536999337,1
1779536999558,1
1779536999786,1
1779537000014,1
1779537000235,1
1779537000479,1
1779537000694,1
1779537000917,1
1779537001137,1
1779537001356,1
1779537001578,1
1779537001800,1
1779537002017,1
1779537002243,1
1779537002465,1
1779537002688,1
1779537002909,1
1779537003138,1
1779537003361,1
1779537003580,1
1779537003806,1
1779537004030,1
1779537004258,1
1779537004481,1
1779537004717,1
1779537004934,1
1779537005156,1
1779537005380,1
1779537005611,1
1779537005832,1
1779537006051,1
1779537006266,1
1779537006483,1
1779537006704,1
1779537006929,1
1779537007143,1
1779537007370,1
1779537007591,1
1779537007824,1
1779537008052,1
1779537008270,1
1779537008506,1
1779537008734,1
1779537008957,1
1779537009188,1
1779537009402,1
1779537009622,1
1779537009847,1
1779537010066,1
1779537010287,1
1779537010507,1
1779537010735,1
1779537010956,1
1779537011174,1
1779537011403,1
1779537011629,1
1779537011846,1
1779537012074,1
1779537012300,1
1779537012528,1
1779537012756,1
1779537012984,1
1779537013209,1
1779537013433,1
1779537013659,1
1779537013877,1
1779537014101,1
1779537014328,1
1779537014559,1
1779537014789,1
1779537015020,1
1779537015248,1
1779537015479,1
1779537015708,1
1779537015943,1
1779537016174,1
1779537016402,1
1779537016631,1
1779537016861,1
1779537017091,1
1779537017321,1
1779537017554,1
1779537017785,1
1779537018013,1
1779537018247,1
1779537018475,1
1779537018705,1
1779537018937,1
1779537019166,1
1779537019395,1
1779537019624,1
1779537019858,1
