window_start_unix_ms,window_end_unix_ms,window_seconds,experiment_id,node_name,node_ip,service_namespace,service_name,service_nodeport,routing_mode,has_remote_backend,delta_tcp_packets,delta_nodeport_hit,delta_backend_selected,delta_backend_lookup_miss,delta_rr_update,delta_snat_install,delta_request_rewrite,delta_revnat_hit,delta_ct_lookup_miss,delta_response_rewrite,delta_fwd_ct_hit,delta_new_conn,delta_map_miss,delta_rewrite_fail,delta_redirect_ok,delta_redirect_fail,delta_fallback_pass,ct_active_count,fwd_ct_active_count,gc_runs_in_window,gc_deleted_ct,gc_deleted_fwd_ct,ct_entry_timeout_seconds,ct_gc_interval_seconds,backend_total,backend_local,backend_remote,backend_total_delta,service_event_seen,slice_event_seen,node_event_seen,sync_reconcile_count,sync_upserted_services,sync_removed_services,label,label_source,anomaly_active,recovery_active
1779525855485,1779525856485,1.000,endpointslice-churn-20260523T084408Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,19,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,5909,5900,0,0,0,600,30,2,1,1,2,1,1,1,2,1,0,normal,derived,0,0
1779525856485,1779525857485,1.000,endpointslice-churn-20260523T084408Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,21,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,5910,5901,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0
1779525857485,1779525858485,1.000,endpointslice-churn-20260523T084408Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,102,25,3,0,3,3,25,25,52,25,0,0,0,0,0,0,0,5912,5903,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0
1779525858485,1779525859485,1.000,endpointslice-churn-20260523T084408Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,87,20,4,0,4,4,20,20,47,20,0,0,0,0,0,0,0,5916,5908,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0
1779525859485,1779525860485,1.000,endpointslice-churn-20260523T084408Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,89,25,3,0,3,3,25,25,39,25,0,0,0,0,0,0,0,5919,5910,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0
1779525860485,1779525861485,1.000,endpointslice-churn-20260523T084408Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,92,20,4,0,4,4,20,20,52,20,0,0,0,0,0,0,0,5923,5914,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0
1779525861485,1779525862485,1.000,endpointslice-churn-20260523T084408Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,71,20,2,0,2,2,20,20,31,20,0,0,0,0,0,0,0,5925,5917,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0
1779525862485,1779525863485,1.000,endpointslice-churn-20260523T084408Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,120,25,5,0,5,5,25,25,70,25,0,0,0,0,0,0,0,5930,5921,0,0,0,600,30,1,0,1,-1,0,1,0,1,1,0,normal,derived,0,0
1779525863485,1779525864485,1.000,endpointslice-churn-20260523T084408Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,86,20,4,0,4,4,20,20,46,20,0,0,0,0,0,0,0,5934,5925,0,0,0,600,30,1,0,1,0,0,0,0,0,0,0,normal,derived,0,0
1779525864485,1779525865485,1.000,endpointslice-churn-20260523T084408Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,76,20,4,0,4,4,20,20,36,20,0,0,0,0,0,0,0,5939,5930,0,0,0,600,30,1,0,1,0,0,0,0,0,0,0,normal,derived,0,0
1779525865485,1779525866485,1.000,endpointslice-churn-20260523T084408Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,92,25,5,0,5,5,25,25,42,25,0,0,0,0,0,0,0,5913,5903,0,0,0,600,30,1,0,1,0,0,0,0,0,0,0,normal,derived,0,0
1779525866485,1779525867485,1.000,endpointslice-churn-20260523T084408Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,80,20,1,0,1,1,20,20,40,20,0,0,0,0,0,0,0,5914,5904,0,0,0,600,30,1,0,1,0,0,0,0,0,0,0,normal,derived,0,0
