ts_unix_ms,ok
1779525857493,1
1779525857725,1
1779525857956,1
1779525858185,1
1779525858414,1
1779525858641,1
1779525858869,1
1779525859099,1
1779525859328,1
1779525859557,1
1779525859787,1
1779525860014,1
1779525860245,1
1779525860473,1
1779525860703,1
1779525860932,1
1779525861163,1
1779525861391,1
1779525861619,1
1779525861848,1
1779525862078,1
1779525862306,1
1779525862538,1
1779525862767,1
1779525862997,1
1779525863229,1
1779525863459,1
1779525863690,1
1779525863919,1
1779525864150,1
1779525864380,1
1779525864609,1
1779525864838,1
1779525865067,1
1779525865298,1
1779525865528,1
1779525865761,1
1779525865992,1
1779525866220,1
1779525866450,1
1779525866678,1
1779525866909,1
1779525867136,1
1779525867363,1
1779525867593,1
1779525867822,1
1779525868052,1
1779525868283,1
1779525868512,1
1779525868741,1
1779525868971,1
1779525869203,1
1779525869433,1
1779525869663,1
1779525869894,1
1779525870129,1
1779525870355,1
1779525870584,1
1779525870811,1
1779525871041,1
1779525871268,1
1779525871497,1
1779525871726,1
1779525871954,1
1779525872183,1
1779525872412,1
1779525872642,1
1779525872892,1
1779525873122,1
1779525873350,1
1779525873579,1
1779525873807,1
1779525874039,1
1779525874269,1
1779525874498,1
1779525874728,1
1779525874960,1
1779525875190,1
1779525875420,1
1779525875651,1
1779525875880,1
1779525876108,1
1779525876335,1
1779525876561,1
1779525876788,1
1779525877017,1
1779525877246,1
1779525877475,1
1779525877703,1
1779525877936,1
1779525878166,1
1779525878396,1
1779525878626,1
1779525878856,1
1779525879086,1
1779525879316,1
1779525879546,1
1779525879775,1
1779525880002,1
1779525880232,1
1779525880461,1
1779525880690,1
1779525880918,1
1779525881148,1
1779525881378,1
1779525881607,1
1779525881836,1
1779525882065,1
1779525882293,1
1779525882523,1
1779525882752,1
1779525882980,1
1779525883210,1
1779525883439,1
1779525883665,1
1779525883893,1
1779525884122,1
1779525884358,1
1779525884587,1
1779525884815,1
1779525885045,1
1779525885274,1
1779525885503,1
1779525885733,1
1779525885964,1
1779525886194,1
1779525886423,1
1779525886653,1
1779525886885,1
1779525887114,1
1779525887343,1
1779525887575,1
1779525887803,1
1779525888030,1
1779525888259,1
1779525888491,1
1779525888719,1
1779525888955,1
1779525889184,1
1779525889412,1
1779525889642,1
1779525889871,1
1779525890099,1
1779525890330,1
1779525890560,1
1779525890790,1
1779525891021,1
1779525891257,1
1779525891485,1
1779525891712,1
1779525891940,1
1779525892170,1
1779525892399,1
1779525892629,1
1779525892859,1
1779525893089,1
1779525893320,1
1779525893551,1
1779525893779,0
1779525894010,1
1779525894242,1
1779525894472,1
1779525894701,1
1779525894936,1
1779525897164,0
1779525897396,1
1779525897627,1
1779525897856,1
1779525898087,1
1779525898317,1
1779525898547,1
1779525900778,0
1779525901009,1
1779525901240,1
1779525901471,1
1779525901704,1
1779525903933,0
1779525904162,1
1779525904392,1
1779525904625,1
1779525904854,1
1779525905086,1
1779525905316,1
1779525905547,1
1779525905776,1
1779525906006,1
1779525906237,1
1779525906466,1
1779525908696,0
1779525908925,1
1779525909155,1
1779525909387,1
1779525909619,1
1779525909850,1
1779525910078,1
1779525910307,1
1779525910537,1
1779525910767,1
1779525912999,0
1779525913230,1
1779525915458,0
1779525917688,0
1779525919919,0
1779525922148,0
1779525922379,1
1779525922610,1
1779525922840,1
1779525923070,1
1779525925297,0
1779525925527,1
1779525925760,1
1779525927991,0
1779525928227,1
1779525928458,1
1779525928688,1
1779525930919,0
1779525931149,1
1779525931380,1
1779525931613,1
1779525933843,0
1779525934073,1
1779525936303,0
1779525936534,1
1779525936767,1
1779525938996,0
1779525939226,1
1779525939457,1
1779525939687,1
1779525939916,1
1779525940144,1
1779525940374,1
1779525940603,1
1779525940832,1
1779525941061,1
1779525941293,1
1779525941523,1
1779525941749,1
1779525941978,1
1779525944205,0
