ts_unix_ms,ok
1779525605245,1
1779525605473,1
1779525605701,1
1779525605932,1
1779525606168,1
1779525606403,1
1779525606634,1
1779525606866,1
1779525607097,1
1779525607324,1
1779525607556,1
1779525607787,1
1779525608019,1
1779525608252,1
1779525608482,1
1779525608710,1
1779525608942,1
1779525609173,1
1779525609405,1
1779525609635,1
1779525609865,1
1779525610094,1
1779525610322,1
1779525610552,1
1779525610782,1
1779525611012,1
1779525611242,1
1779525611471,1
1779525611703,1
1779525611932,1
1779525612165,1
1779525612391,1
1779525612620,1
1779525612848,1
1779525613075,1
1779525613301,1
1779525613530,1
1779525613762,1
1779525613995,1
1779525614223,1
1779525614449,1
1779525614674,1
1779525614904,1
1779525615131,1
1779525615362,1
1779525615591,1
1779525615821,1
1779525616049,1
1779525616279,1
1779525616509,1
1779525616739,1
1779525616968,1
1779525617198,1
1779525617427,1
1779525617658,1
1779525617889,1
1779525618119,1
1779525618347,1
1779525618575,1
1779525618803,1
1779525619034,1
1779525619265,1
