window_start_unix_ms,window_end_unix_ms,window_seconds,experiment_id,node_name,node_ip,service_namespace,service_name,service_nodeport,routing_mode,has_remote_backend,delta_tcp_packets,delta_nodeport_hit,delta_backend_selected,delta_backend_lookup_miss,delta_rr_update,delta_snat_install,delta_request_rewrite,delta_revnat_hit,delta_ct_lookup_miss,delta_response_rewrite,delta_fwd_ct_hit,delta_new_conn,delta_map_miss,delta_rewrite_fail,delta_redirect_ok,delta_redirect_fail,delta_fallback_pass,ct_active_count,fwd_ct_active_count,gc_runs_in_window,gc_deleted_ct,gc_deleted_fwd_ct,ct_entry_timeout_seconds,ct_gc_interval_seconds,backend_total,backend_local,backend_remote,backend_total_delta,service_event_seen,slice_event_seen,node_event_seen,sync_reconcile_count,sync_upserted_services,sync_removed_services,label,label_source,anomaly_active,recovery_active
1779537166912,1779537167912,1.000,path-degradation-netem-20260523T114300Z,k8s-worker2,192.168.1.203,ebpf-nodeport-test,nodeport-echo,30080,encap,0,161,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,600,30,1,1,0,1,1,1,1,3,2,0,normal,derived,0,0
1779537167912,1779537168912,1.000,path-degradation-netem-20260523T114300Z,k8s-worker2,192.168.1.203,ebpf-nodeport-test,nodeport-echo,30080,encap,0,242,0,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,600,30,1,1,0,0,0,0,0,0,0,0,normal,derived,0,0
1779537168912,1779537169912,1.000,path-degradation-netem-20260523T114300Z,k8s-worker2,192.168.1.203,ebpf-nodeport-test,nodeport-echo,30080,encap,0,199,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,600,30,1,1,0,0,0,0,0,0,0,0,normal,derived,0,0
1779537169912,1779537170912,1.000,path-degradation-netem-20260523T114300Z,k8s-worker2,192.168.1.203,ebpf-nodeport-test,nodeport-echo,30080,encap,0,146,0,0,0,0,0,0,0,146,0,0,0,0,0,0,0,0,0,0,0,0,0,600,30,1,1,0,0,0,0,0,0,0,0,normal,derived,0,0
1779537170912,1779537171912,1.000,path-degradation-netem-20260523T114300Z,k8s-worker2,192.168.1.203,ebpf-nodeport-test,nodeport-echo,30080,encap,0,138,0,0,0,0,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,600,30,1,1,0,0,0,0,0,0,0,0,normal,derived,0,0
1779537171912,1779537172912,1.000,path-degradation-netem-20260523T114300Z,k8s-worker2,192.168.1.203,ebpf-nodeport-test,nodeport-echo,30080,encap,1,242,0,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,600,30,2,1,1,1,0,1,0,1,1,0,normal,derived,0,0
1779537172912,1779537173912,1.000,path-degradation-netem-20260523T114300Z,k8s-worker2,192.168.1.203,ebpf-nodeport-test,nodeport-echo,30080,encap,1,332,0,0,0,0,0,0,0,332,0,0,0,0,0,0,0,0,0,0,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,path_degradation,event_manifest,1,0
1779537173912,1779537174912,1.000,path-degradation-netem-20260523T114300Z,k8s-worker2,192.168.1.203,ebpf-nodeport-test,nodeport-echo,30080,encap,1,182,0,0,0,0,0,0,0,182,0,0,0,0,0,0,0,0,0,0,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,path_degradation,event_manifest,1,0
1779537174912,1779537175912,1.000,path-degradation-netem-20260523T114300Z,k8s-worker2,192.168.1.203,ebpf-nodeport-test,nodeport-echo,30080,encap,0,200,0,0,0,0,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,600,30,1,1,0,-1,0,1,0,1,1,0,path_degradation,event_manifest,1,0
1779537175912,1779537176912,1.000,path-degradation-netem-20260523T114300Z,k8s-worker2,192.168.1.203,ebpf-nodeport-test,nodeport-echo,30080,encap,1,208,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,600,30,2,1,1,1,0,1,0,1,1,0,path_degradation,event_manifest,1,0
1779537176912,1779537177912,1.000,path-degradation-netem-20260523T114300Z,k8s-worker2,192.168.1.203,ebpf-nodeport-test,nodeport-echo,30080,encap,1,169,0,0,0,0,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,path_degradation,event_manifest,1,0
1779537177912,1779537178912,1.000,path-degradation-netem-20260523T114300Z,k8s-worker2,192.168.1.203,ebpf-nodeport-test,nodeport-echo,30080,encap,1,206,0,0,0,0,0,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,path_degradation,event_manifest,1,0
