ts_unix_ms,ok
1779537219847,1
1779537220073,1
1779537220306,1
1779537220536,1
1779537220765,1
1779537220995,1
1779537221225,1
1779537221455,1
1779537221686,1
1779537221915,1
1779537222146,1
1779537222374,1
1779537222603,1
1779537222829,1
1779537223058,1
1779537223287,1
1779537223519,0
1779537223751,1
1779537223981,1
1779537224209,0
1779537224440,1
1779537224669,1
1779537224900,1
1779537225132,1
1779537225362,1
1779537225596,1
1779537225822,1
1779537226052,1
1779537226282,1
1779537226513,1
1779537226744,1
1779537226973,1
1779537227203,1
1779537227436,1
1779537227906,1
1779537228381,1
1779537228611,1
1779537229081,1
1779537229315,1
1779537230165,1
1779537230394,1
1779537230625,1
1779537230853,1
1779537231323,1
1779537231553,1
1779537231783,1
1779537232253,1
1779537232724,1
1779537232953,1
1779537233423,1
1779537233654,1
1779537233882,1
1779537234118,1
1779537234348,1
1779537234577,1
1779537235047,1
1779537235278,1
1779537235751,1
1779537235980,1
1779537236451,1
1779537236680,1
1779537236908,1
1779537237137,1
1779537237607,1
1779537237834,1
1779537238304,1
1779537238775,1
1779537239247,1
1779537240092,1
1779537240323,1
1779537240552,1
1779537242033,1
1779537242259,1
1779537242734,1
1779537242965,1
1779537244465,1
1779537245969,1
1779537246200,1
1779537246429,1
1779537246661,1
1779537246888,1
1779537247119,1
1779537247348,1
1779537247579,1
1779537247808,1
1779537248042,1
1779537248276,1
1779537248512,1
1779537248742,1
1779537248973,1
1779537249202,1
1779537249432,1
1779537249664,1
1779537249893,1
1779537250120,1
1779537250350,1
1779537250581,1
1779537250808,1
1779537251042,1
1779537251273,1
1779537251504,1
1779537251739,1
1779537251969,1
