window_start_unix_ms,window_end_unix_ms,window_seconds,experiment_id,node_name,node_ip,service_namespace,service_name,service_nodeport,routing_mode,has_remote_backend,delta_tcp_packets,delta_nodeport_hit,delta_backend_selected,delta_backend_lookup_miss,delta_rr_update,delta_snat_install,delta_request_rewrite,delta_revnat_hit,delta_ct_lookup_miss,delta_response_rewrite,delta_fwd_ct_hit,delta_new_conn,delta_map_miss,delta_rewrite_fail,delta_redirect_ok,delta_redirect_fail,delta_fallback_pass,ct_active_count,fwd_ct_active_count,gc_runs_in_window,gc_deleted_ct,gc_deleted_fwd_ct,ct_entry_timeout_seconds,ct_gc_interval_seconds,backend_total,backend_local,backend_remote,backend_total_delta,service_event_seen,slice_event_seen,node_event_seen,sync_reconcile_count,sync_upserted_services,sync_removed_services,label,label_source,anomaly_active,recovery_active
1779537278088,1779537279088,1.000,service-delete-recreate-20260523T114500Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,178,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,14066,14066,0,0,0,600,30,2,1,1,2,1,1,1,2,1,0,normal,derived,0,0
1779537279088,1779537280088,1.000,service-delete-recreate-20260523T114500Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,166,0,0,0,0,0,0,0,166,0,0,0,0,0,0,0,0,14066,14066,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0
1779537280088,1779537281088,1.000,service-delete-recreate-20260523T114500Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,240,15,0,0,0,0,15,15,210,15,0,0,0,0,0,0,0,14066,14066,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0
1779537281088,1779537282088,1.000,service-delete-recreate-20260523T114500Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,297,20,0,0,0,0,20,20,257,20,0,0,0,0,0,0,0,14066,14066,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0
1779537282088,1779537283088,1.000,service-delete-recreate-20260523T114500Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,268,25,0,0,0,0,25,25,218,25,0,0,0,0,0,0,0,14066,14066,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0
1779537283088,1779537284088,1.000,service-delete-recreate-20260523T114500Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,233,12,0,0,0,0,12,12,209,12,0,0,0,0,0,0,0,14066,14066,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0
1779537284088,1779537285088,1.000,service-delete-recreate-20260523T114500Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,247,20,0,0,0,0,20,20,207,20,0,0,0,0,0,0,0,14066,14066,0,0,0,600,30,1,0,1,-1,0,1,0,1,1,0,normal,derived,0,0
1779537285088,1779537286088,1.000,service-delete-recreate-20260523T114500Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,0,encap,0,276,20,0,0,0,0,20,20,236,20,0,0,0,0,0,0,0,14066,14066,0,0,0,600,30,0,0,0,-1,1,1,0,2,0,1,normal,derived,0,0
1779537286088,1779537287088,1.000,service-delete-recreate-20260523T114500Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,0,encap,0,222,0,0,0,0,0,0,0,222,0,0,0,0,0,0,0,0,14066,14066,0,0,0,600,30,0,0,0,0,0,0,0,0,0,0,normal,derived,0,0
1779537287088,1779537288088,1.000,service-delete-recreate-20260523T114500Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,0,encap,0,120,0,0,0,0,0,0,0,120,0,0,0,0,0,0,0,0,14066,14066,0,0,0,600,30,0,0,0,0,0,0,0,0,0,0,normal,derived,0,0
