ts_unix_ms,ok
1779537321334,1
1779537321565,1
1779537321796,1
1779537322025,1
1779537322255,1
1779537322484,1
1779537322714,1
1779537322943,1
1779537323172,1
1779537323394,1
1779537323628,1
1779537323859,1
1779537324092,1
1779537324322,1
1779537324555,1
1779537324789,1
1779537325021,1
1779537325252,1
1779537325482,1
1779537325712,1
1779537325940,1
1779537326171,1
1779537326399,1
1779537326629,1
1779537326857,0
1779537327086,0
1779537327312,0
1779537327541,0
1779537327765,0
1779537327994,0
1779537328222,0
1779537328450,0
1779537328680,0
1779537328907,0
1779537329135,0
1779537329363,0
1779537329587,0
1779537329818,0
1779537330045,0
1779537330274,0
1779537330502,0
1779537330729,0
1779537330958,1
1779537331186,1
1779537331417,1
1779537331644,1
1779537331872,1
1779537332101,1
1779537332330,1
1779537332561,1
1779537332791,1
1779537333020,1
1779537333249,1
1779537333480,1
1779537333709,1
1779537333932,1
1779537334161,1
1779537334393,1
1779537334623,1
1779537334862,1
1779537335092,1
1779537335323,1
1779537335552,1
1779537335783,1
1779537336012,1
1779537336246,1
1779537336479,1
1779537336709,1
1779537336937,1
1779537337165,1
1779537337396,1
1779537337627,1
1779537337858,1
1779537338085,1
1779537338321,1
1779537338553,1
1779537338783,1
1779537339011,1
1779537339238,1
1779537339465,1
1779537339705,1
1779537339933,1
1779537340163,1
1779537340394,1
1779537340623,1
