ts_unix_ms,ok
1779525966384,1
1779525966614,1
1779525966846,1
1779525969074,0
1779525969304,1
1779525969534,1
1779525969762,1
1779525969998,1
1779525972229,0
1779525972455,1
1779525972689,1
1779525972925,1
1779525973145,1
1779525973362,1
1779525973579,1
1779525973805,1
1779525974035,1
1779525974265,1
1779525974495,1
1779525974725,1
1779525974953,1
1779525977170,0
1779525977395,1
1779525977614,1
1779525977843,1
1779525980073,0
1779525980303,1
1779525982532,0
1779525984763,0
1779525984992,1
1779525985223,1
1779525985448,1
1779525985676,1
1779525985902,1
1779525986131,1
1779525986364,1
1779525986594,1
1779525986822,1
1779525989051,0
1779525989281,1
1779525989512,1
1779525989742,1
1779525989971,1
1779525990202,1
1779525990432,1
1779525990661,1
1779525990890,1
1779525991121,1
1779525991352,1
1779525991581,1
1779525991815,1
1779525992047,1
1779525994275,0
1779525994504,1
