experiment_id,scenario,primary_label,included,status,reason,node_count,node_names,event_count,traffic_probe_total,traffic_probe_success,traffic_probe_success_rate,artifact_dir,agent_log_count
agent-restart-20260523T083729Z,agent_restart,control_plane_recovery,1,included,,2,"k8s-worker1,k8s-worker2",1,88,88,1.000000,/home/ubuntu/wjy/ebpf_nodeport/artifacts/agent-restart-20260523T083729Z,2
agent-restart-20260523T113700Z,agent_restart,control_plane_recovery,1,included,,2,"k8s-worker1,k8s-worker2",1,89,89,1.000000,/home/ubuntu/wjy/ebpf_nodeport/artifacts/agent-restart-20260523T113700Z,2
backend-rollout-restart-20260523T072229Z,backend_rollout_restart,backend_churn,1,included,,2,"k8s-worker1,k8s-worker2",1,358,358,1.000000,/home/ubuntu/wjy/ebpf_nodeport/artifacts/backend-rollout-restart-20260523T072229Z,0
backend-rollout-restart-20260523T083411Z,backend_rollout_restart,backend_churn,1,included,,2,"k8s-worker1,k8s-worker2",1,347,346,0.997118,/home/ubuntu/wjy/ebpf_nodeport/artifacts/backend-rollout-restart-20260523T083411Z,2
conntrack-pressure-20260523T084229Z,conntrack_pressure,conntrack_pressure,1,included,,2,"k8s-worker1,k8s-worker2",1,96,93,0.968750,/home/ubuntu/wjy/ebpf_nodeport/artifacts/conntrack-pressure-20260523T084229Z,2
conntrack-pressure-20260523T113900Z,conntrack_pressure,conntrack_pressure,1,included,,2,"k8s-worker1,k8s-worker2",1,107,107,1.000000,/home/ubuntu/wjy/ebpf_nodeport/artifacts/conntrack-pressure-20260523T113900Z,2
conntrack-pressure-20260523T114000Z,conntrack_pressure,conntrack_pressure,1,included,,2,"k8s-worker1,k8s-worker2",1,131,131,1.000000,/home/ubuntu/wjy/ebpf_nodeport/artifacts/conntrack-pressure-20260523T114000Z,2
endpointslice-churn-20260523T084408Z,endpointslice_churn,backend_churn,1,included,,2,"k8s-worker1,k8s-worker2",1,239,222,0.928870,/home/ubuntu/wjy/ebpf_nodeport/artifacts/endpointslice-churn-20260523T084408Z,2
map-rebuild-20260523T083956Z,map_rebuild,control_plane_recovery,1,included,,2,"k8s-worker1,k8s-worker2",1,62,62,1.000000,/home/ubuntu/wjy/ebpf_nodeport/artifacts/map-rebuild-20260523T083956Z,2
normal-steady-state-20260523T072104Z,normal_steady_state,normal,1,included,,2,"k8s-worker1,k8s-worker2",0,131,131,1.000000,/home/ubuntu/wjy/ebpf_nodeport/artifacts/normal-steady-state-20260523T072104Z,0
normal-steady-state-20260523T083153Z,normal_steady_state,normal,1,included,,2,"k8s-worker1,k8s-worker2",0,131,131,1.000000,/home/ubuntu/wjy/ebpf_nodeport/artifacts/normal-steady-state-20260523T083153Z,2
path-degradation-netem-20260523T084038Z,path_degradation_netem,path_degradation,1,included,,2,"k8s-worker1,k8s-worker2",1,94,94,1.000000,/home/ubuntu/wjy/ebpf_nodeport/artifacts/path-degradation-netem-20260523T084038Z,2
path-degradation-netem-20260523T114300Z,path_degradation_netem,path_degradation,1,included,,2,"k8s-worker1,k8s-worker2",1,98,93,0.948980,/home/ubuntu/wjy/ebpf_nodeport/artifacts/path-degradation-netem-20260523T114300Z,2
path-degradation-netem-20260523T114400Z,path_degradation_netem,path_degradation,1,included,,2,"k8s-worker1,k8s-worker2",1,103,101,0.980583,/home/ubuntu/wjy/ebpf_nodeport/artifacts/path-degradation-netem-20260523T114400Z,2
service-delete-recreate-20260523T084325Z,service_delete_recreate,service_reconcile,1,included,,2,"k8s-worker1,k8s-worker2",1,63,60,0.952381,/home/ubuntu/wjy/ebpf_nodeport/artifacts/service-delete-recreate-20260523T084325Z,2
service-delete-recreate-20260523T114500Z,service_delete_recreate,service_reconcile,1,included,,2,"k8s-worker1,k8s-worker2",1,77,64,0.831169,/home/ubuntu/wjy/ebpf_nodeport/artifacts/service-delete-recreate-20260523T114500Z,2
service-delete-recreate-20260523T114600Z,service_delete_recreate,service_reconcile,1,included,,2,"k8s-worker1,k8s-worker2",1,85,67,0.788235,/home/ubuntu/wjy/ebpf_nodeport/artifacts/service-delete-recreate-20260523T114600Z,2
traffic-burst-20260523T084558Z,traffic_burst,load_surge,1,included,,2,"k8s-worker1,k8s-worker2",1,54,46,0.851852,/home/ubuntu/wjy/ebpf_nodeport/artifacts/traffic-burst-20260523T084558Z,2
traffic-burst-20260523T114100Z,traffic_burst,load_surge,1,included,,2,"k8s-worker1,k8s-worker2",1,107,104,0.971963,/home/ubuntu/wjy/ebpf_nodeport/artifacts/traffic-burst-20260523T114100Z,2
traffic-burst-20260523T114200Z,traffic_burst,load_surge,1,included,,2,"k8s-worker1,k8s-worker2",1,128,125,0.976562,/home/ubuntu/wjy/ebpf_nodeport/artifacts/traffic-burst-20260523T114200Z,2
