window_start_unix_ms,window_end_unix_ms,window_seconds,experiment_id,node_name,node_ip,service_namespace,service_name,service_nodeport,routing_mode,has_remote_backend,delta_tcp_packets,delta_nodeport_hit,delta_backend_selected,delta_backend_lookup_miss,delta_rr_update,delta_snat_install,delta_request_rewrite,delta_revnat_hit,delta_ct_lookup_miss,delta_response_rewrite,delta_fwd_ct_hit,delta_new_conn,delta_map_miss,delta_rewrite_fail,delta_redirect_ok,delta_redirect_fail,delta_fallback_pass,ct_active_count,fwd_ct_active_count,gc_runs_in_window,gc_deleted_ct,gc_deleted_fwd_ct,ct_entry_timeout_seconds,ct_gc_interval_seconds,backend_total,backend_local,backend_remote,backend_total_delta,service_event_seen,slice_event_seen,node_event_seen,sync_reconcile_count,sync_upserted_services,sync_removed_services,label,label_source,anomaly_active,recovery_active,experiment_type,split,is_baseline_experiment,traffic_probe_total,traffic_probe_success,traffic_probe_success_rate,event_count,source_artifact_dir
1779525455967,1779525456967,1.000,agent-restart-20260523T083729Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,15,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,554,554,0,0,0,600,30,2,1,1,2,1,1,1,2,1,0,normal,derived,0,0,agent_restart,train,0,88,88,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/agent-restart-20260523T083729Z
1779525456967,1779525457967,1.000,agent-restart-20260523T083729Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,21,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,554,554,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0,agent_restart,train,0,88,88,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/agent-restart-20260523T083729Z
1779525457967,1779525458967,1.000,agent-restart-20260523T083729Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,85,20,4,0,4,4,20,20,45,20,0,0,0,0,0,0,0,558,558,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0,agent_restart,train,0,88,88,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/agent-restart-20260523T083729Z
1779525458967,1779525459967,1.000,agent-restart-20260523T083729Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,73,20,4,0,4,4,20,20,33,20,0,0,0,0,0,0,0,562,562,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0,agent_restart,train,0,88,88,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/agent-restart-20260523T083729Z
1779525459967,1779525460967,1.000,agent-restart-20260523T083729Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,73,20,4,0,4,4,20,20,33,20,0,0,0,0,0,0,0,566,566,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0,agent_restart,train,0,88,88,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/agent-restart-20260523T083729Z
1779525460967,1779525461967,1.000,agent-restart-20260523T083729Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,90,25,5,0,5,5,25,25,40,25,0,0,0,0,0,0,0,571,571,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0,agent_restart,train,0,88,88,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/agent-restart-20260523T083729Z
1779525461967,1779525462967,1.000,agent-restart-20260523T083729Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,87,20,4,0,4,4,20,20,47,20,0,0,0,0,0,0,0,575,575,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0,agent_restart,train,0,88,88,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/agent-restart-20260523T083729Z
1779525462967,1779525463967,1.000,agent-restart-20260523T083729Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,84,25,5,0,5,5,25,25,34,25,0,0,0,0,0,0,0,580,580,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0,agent_restart,train,0,88,88,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/agent-restart-20260523T083729Z
1779525463967,1779525464967,1.000,agent-restart-20260523T083729Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,81,20,4,0,4,4,20,20,41,20,0,0,0,0,0,0,0,584,584,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0,agent_restart,train,0,88,88,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/agent-restart-20260523T083729Z
1779525464967,1779525465967,1.000,agent-restart-20260523T083729Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,1,70,20,4,0,4,4,20,20,30,20,0,0,0,0,0,0,0,588,588,0,0,0,600,30,2,1,1,0,0,0,0,0,0,0,normal,derived,0,0,agent_restart,train,0,88,88,1.000000,1,/home/ubuntu/wjy/ebpf_nodeport/artifacts/agent-restart-20260523T083729Z
