window_start_unix_ms,window_end_unix_ms,window_seconds,experiment_id,node_name,node_ip,service_namespace,service_name,service_nodeport,routing_mode,has_remote_backend,delta_tcp_packets,delta_nodeport_hit,delta_backend_selected,delta_backend_lookup_miss,delta_rr_update,delta_snat_install,delta_request_rewrite,delta_revnat_hit,delta_ct_lookup_miss,delta_response_rewrite,delta_fwd_ct_hit,delta_new_conn,delta_map_miss,delta_rewrite_fail,delta_redirect_ok,delta_redirect_fail,delta_fallback_pass,ct_active_count,fwd_ct_active_count,gc_runs_in_window,gc_deleted_ct,gc_deleted_fwd_ct,ct_entry_timeout_seconds,ct_gc_interval_seconds,backend_total,backend_local,backend_remote,backend_total_delta,service_event_seen,slice_event_seen,node_event_seen,sync_reconcile_count,sync_upserted_services,sync_removed_services,label,label_source,anomaly_active,recovery_active,experiment_type,split,is_baseline_experiment,traffic_probe_total,traffic_probe_success,traffic_probe_success_rate,event_count,source_artifact_dir
1779606736339,1779606737339,1.000,phase6-local-high-backend-churn-20260524T071203Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,0,181,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,5886,5877,0,0,0,600,30,1,1,0,1,1,1,1,2,1,0,normal,derived,0,0,backend_rollout_restart,,0,148,132,0.891892,1,artifacts/phase6-local-high-backend-churn-20260524T071203Z
1779606737339,1779606738339,1.000,phase6-local-high-backend-churn-20260524T071203Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,0,1645,495,96,0,96,96,495,481,669,481,0,0,0,0,0,0,0,5995,6006,0,0,0,600,30,1,1,0,0,0,0,0,0,0,0,normal,derived,0,0,backend_rollout_restart,,0,148,132,0.891892,1,artifacts/phase6-local-high-backend-churn-20260524T071203Z
1779606738339,1779606739339,1.000,phase6-local-high-backend-churn-20260524T071203Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,0,1768,564,106,0,106,106,564,531,673,531,0,0,0,0,0,0,0,6088,6079,0,0,0,600,30,1,1,0,0,0,0,0,0,0,0,normal,derived,0,0,backend_rollout_restart,,0,148,132,0.891892,1,artifacts/phase6-local-high-backend-churn-20260524T071203Z
1779606739339,1779606740339,1.000,phase6-local-high-backend-churn-20260524T071203Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,0,446,99,15,0,15,15,99,75,274,75,0,0,0,0,0,0,0,6109,6117,0,0,0,600,30,1,1,0,0,0,0,0,0,0,0,normal,derived,0,0,backend_rollout_restart,,0,148,132,0.891892,1,artifacts/phase6-local-high-backend-churn-20260524T071203Z
1779606740339,1779606741339,1.000,phase6-local-high-backend-churn-20260524T071203Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,0,1867,587,111,0,111,111,587,556,722,556,0,0,0,0,0,0,0,6214,6205,0,0,0,600,30,1,1,0,0,0,0,0,0,0,0,normal,derived,0,0,backend_rollout_restart,,0,148,132,0.891892,1,artifacts/phase6-local-high-backend-churn-20260524T071203Z
1779606741339,1779606742339,1.000,phase6-local-high-backend-churn-20260524T071203Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,0,282,50,4,0,4,4,50,20,212,20,0,0,0,0,0,0,0,6221,6219,0,0,0,600,30,1,1,0,0,0,0,0,0,0,0,normal,derived,0,0,backend_rollout_restart,,0,148,132,0.891892,1,artifacts/phase6-local-high-backend-churn-20260524T071203Z
1779606742339,1779606743339,1.000,phase6-local-high-backend-churn-20260524T071203Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,0,1023,312,56,0,56,56,312,280,431,280,0,0,0,0,0,0,0,6275,6266,0,0,0,600,30,1,1,0,0,0,0,0,0,0,0,normal,derived,0,0,backend_rollout_restart,,0,148,132,0.891892,1,artifacts/phase6-local-high-backend-churn-20260524T071203Z
1779606743339,1779606744339,1.000,phase6-local-high-backend-churn-20260524T071203Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,0,245,38,1,0,1,1,38,5,202,5,0,0,0,0,0,0,0,6275,6267,0,0,0,600,30,1,1,0,0,0,0,0,0,0,0,normal,derived,0,0,backend_rollout_restart,,0,148,132,0.891892,1,artifacts/phase6-local-high-backend-churn-20260524T071203Z
1779606744339,1779606745339,1.000,phase6-local-high-backend-churn-20260524T071203Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,0,670,178,29,0,29,29,178,145,347,145,0,0,0,0,0,0,0,6304,6295,0,0,0,600,30,1,1,0,0,0,0,0,0,0,0,normal,derived,0,0,backend_rollout_restart,,0,148,132,0.891892,1,artifacts/phase6-local-high-backend-churn-20260524T071203Z
1779606745339,1779606746339,1.000,phase6-local-high-backend-churn-20260524T071203Z,k8s-worker1,192.168.1.202,ebpf-nodeport-test,nodeport-echo,30080,encap,0,242,33,0,0,0,0,33,0,209,0,0,0,0,0,0,0,0,6304,6295,0,0,0,600,30,0,0,0,-1,0,1,0,1,0,1,normal,derived,0,0,backend_rollout_restart,,0,148,132,0.891892,1,artifacts/phase6-local-high-backend-churn-20260524T071203Z
