ts_unix_ms,ok,status_code,latency_ms,error
1779547226782,1,200,8.572,
1779547226783,1,200,8.856,
1779547226784,1,200,7.527,
1779547226785,1,200,8.752,
1779547226788,1,200,3.095,
1779547226791,1,200,8.853,
1779547226791,1,200,15.958,
1779547226793,1,200,18.811,
1779547226794,1,200,12.279,
1779547226794,1,200,14.930,
1779547226795,1,200,16.211,
1779547226796,1,200,8.181,
1779547226796,1,200,13.714,
1779547226797,1,200,11.205,
1779547226798,1,200,14.247,
1779547226799,1,200,13.342,
1779547226801,1,200,10.664,
1779547226801,1,200,8.212,
1779547226802,1,200,10.394,
1779547226803,1,200,11.568,
1779547226803,1,200,6.928,
1779547226805,1,200,11.229,
1779547226806,1,200,10.492,
1779547226807,1,200,10.651,
1779547226808,1,200,13.896,
1779547226808,1,200,9.631,
1779547226809,1,200,19.349,
1779547226809,1,200,3.650,
1779547226810,1,200,10.479,
1779547226811,1,200,27.681,
1779547226812,1,200,11.671,
1779547226813,1,200,12.089,
1779547226814,1,200,12.159,
1779547226814,1,200,5.764,
1779547226815,1,200,27.423,
1779547226816,1,200,9.984,
1779547226817,1,200,20.334,
1779547226818,1,200,4.241,
1779547226819,1,200,23.772,
1779547226819,1,200,5.576,
1779547226820,1,200,17.042,
1779547226821,1,200,13.697,
1779547226822,1,200,13.176,
1779547226823,1,200,15.933,
1779547226823,1,200,12.400,
1779547226824,1,200,11.751,
1779547226825,1,200,21.761,
1779547226826,1,200,6.843,
1779547226827,1,200,8.487,
1779547226828,1,200,19.551,
1779547226828,1,200,7.776,
1779547226829,1,200,6.440,
1779547226830,1,200,14.255,
1779547226831,1,200,7.221,
1779547226833,1,200,5.548,
1779547226834,1,200,12.565,
1779547226834,1,200,16.052,
1779547226835,1,200,12.281,
1779547226835,1,200,6.201,
1779547226838,1,200,2.735,
1779547226839,1,200,22.526,
1779547226840,1,200,15.153,
1779547226840,1,200,12.163,
1779547226841,1,200,13.504,
1779547226841,1,200,11.113,
1779547226841,1,200,15.517,
1779547226842,1,200,7.627,
1779547226843,1,200,33.082,
1779547226846,1,200,14.586,
1779547226847,1,200,23.692,
1779547226848,1,200,33.959,
1779547226849,1,200,9.153,
1779547226849,1,200,16.061,
1779547226850,1,200,11.475,
1779547226851,1,200,10.066,
1779547226851,1,200,16.799,
1779547226852,1,200,37.598,
1779547226852,1,200,17.680,
1779547226853,1,200,11.776,
1779547226854,1,200,13.309,
1779547226854,1,200,12.539,
1779547226855,1,200,2.955,
1779547226856,1,200,14.047,
1779547226857,1,200,13.574,
1779547226857,1,200,17.055,
1779547226859,1,200,10.143,
1779547226860,1,200,11.137,
1779547226860,1,200,9.494,
1779547226861,1,200,11.325,
1779547226863,1,200,9.029,
1779547226863,1,200,14.115,
1779547226864,1,200,10.129,
1779547226865,1,200,17.805,
1779547226866,1,200,7.469,
1779547226867,1,200,14.210,
1779547226868,1,200,15.809,
1779547226869,1,200,17.787,
1779547226869,1,200,22.974,
1779547226869,1,200,14.093,
1779547226870,1,200,7.403,
1779547226872,1,200,7.570,
1779547226872,1,200,15.062,
1779547226873,1,200,13.555,
1779547226877,1,200,20.269,
1779547226878,1,200,7.724,
1779547226878,1,200,10.808,
1779547226879,1,200,10.493,
1779547226879,1,200,9.696,
1779547226880,1,200,11.027,
1779547226880,1,200,23.806,
1779547226881,1,200,20.409,
1779547226881,1,200,11.813,
1779547226882,1,200,15.701,
1779547226882,1,200,17.006,
1779547226883,1,200,10.683,
1779547226885,1,200,5.511,
1779547226886,1,200,22.283,
1779547226887,1,200,13.506,
1779547226888,1,200,2.298,
1779547226888,1,200,11.364,
1779547226889,1,200,9.986,
1779547226891,1,200,10.793,
1779547226891,1,200,12.514,
