window_start_unix_ms,window_end_unix_ms,window_seconds,experiment_id,node_name,node_ip,service_namespace,service_name,service_nodeport,routing_mode,has_remote_backend,delta_tcp_packets,delta_nodeport_hit,delta_backend_selected,delta_backend_lookup_miss,delta_rr_update,delta_snat_install,delta_request_rewrite,delta_revnat_hit,delta_ct_lookup_miss,delta_response_rewrite,delta_fwd_ct_hit,delta_new_conn,delta_map_miss,delta_rewrite_fail,delta_redirect_ok,delta_redirect_fail,delta_fallback_pass,ct_active_count,fwd_ct_active_count,gc_runs_in_window,gc_deleted_ct,gc_deleted_fwd_ct,ct_entry_timeout_seconds,ct_gc_interval_seconds,backend_total,backend_local,backend_remote,backend_total_delta,service_event_seen,slice_event_seen,node_event_seen,sync_reconcile_count,sync_upserted_services,sync_removed_services,label,label_source,anomaly_active,recovery_active
1779546526183,1779546527183,1.000,phase5-on-local,k8s-worker2,192.168.1.203,ebpf-nodeport-test,nodeport-echo,30080,encap,1,254,0,0,0,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,600,30,1,0,1,1,1,1,1,2,1,0,normal,derived,0,0
1779546527183,1779546528183,1.000,phase5-on-local,k8s-worker2,192.168.1.203,ebpf-nodeport-test,nodeport-echo,30080,encap,1,198,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,600,30,1,0,1,0,0,0,0,0,0,0,normal,derived,0,0
1779546528183,1779546529183,1.000,phase5-on-local,k8s-worker2,192.168.1.203,ebpf-nodeport-test,nodeport-echo,30080,encap,1,198,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,600,30,1,0,1,0,0,0,0,0,0,0,normal,derived,0,0
1779546529183,1779546530183,1.000,phase5-on-local,k8s-worker2,192.168.1.203,ebpf-nodeport-test,nodeport-echo,30080,encap,1,205,0,0,0,0,0,0,0,205,0,0,0,0,0,0,0,0,0,0,0,0,0,600,30,1,0,1,0,0,0,0,0,0,0,normal,derived,0,0
1779546530183,1779546531183,1.000,phase5-on-local,k8s-worker2,192.168.1.203,ebpf-nodeport-test,nodeport-echo,30080,encap,1,192,0,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,600,30,1,0,1,0,0,0,0,0,0,0,normal,derived,0,0
1779546531183,1779546532183,1.000,phase5-on-local,k8s-worker2,192.168.1.203,ebpf-nodeport-test,nodeport-echo,30080,encap,1,178,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,0,0,0,0,0,600,30,1,0,1,0,0,0,0,0,0,0,normal,derived,0,0
1779546532183,1779546533183,1.000,phase5-on-local,k8s-worker2,192.168.1.203,ebpf-nodeport-test,nodeport-echo,30080,encap,1,186,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0,0,0,0,0,600,30,1,0,1,0,0,0,0,0,0,0,normal,derived,0,0
1779546533183,1779546534183,1.000,phase5-on-local,k8s-worker2,192.168.1.203,ebpf-nodeport-test,nodeport-echo,30080,encap,1,198,0,0,0,0,0,0,0,198,0,0,0,0,0,0,0,0,0,0,0,0,0,600,30,1,0,1,0,0,0,0,0,0,0,normal,derived,0,0
1779546534183,1779546535183,1.000,phase5-on-local,k8s-worker2,192.168.1.203,ebpf-nodeport-test,nodeport-echo,30080,encap,1,187,0,0,0,0,0,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,0,600,30,1,0,1,0,0,0,0,0,0,0,normal,derived,0,0
1779546535183,1779546536183,1.000,phase5-on-local,k8s-worker2,192.168.1.203,ebpf-nodeport-test,nodeport-echo,30080,encap,1,208,0,0,0,0,0,0,0,208,0,0,0,0,0,0,0,0,0,0,0,0,0,600,30,1,0,1,0,0,0,0,0,0,0,normal,derived,0,0
1779546536183,1779546537183,1.000,phase5-on-local,k8s-worker2,192.168.1.203,ebpf-nodeport-test,nodeport-echo,30080,encap,1,128,0,0,0,0,0,0,0,128,0,0,0,0,0,0,0,0,0,0,0,0,0,600,30,1,0,1,0,0,0,0,0,0,0,normal,derived,0,0
