ts_unix_ms,ok,status_code,latency_ms,error
1779547312472,1,200,9.816,
1779547312473,1,200,5.927,
1779547312474,1,200,4.116,
1779547312476,1,200,11.487,
1779547312476,1,200,6.861,
1779547312477,1,200,10.393,
1779547312478,1,200,8.054,
1779547312478,1,200,13.640,
1779547312480,1,200,9.064,
1779547312480,1,200,9.930,
1779547312482,1,200,9.344,
1779547312482,1,200,9.488,
1779547312483,1,200,6.839,
1779547312483,1,200,6.621,
1779547312484,1,200,10.284,
1779547312485,1,200,7.536,
1779547312486,1,200,10.128,
1779547312486,1,200,14.462,
1779547312488,1,200,8.260,
1779547312489,1,200,8.923,
1779547312489,1,200,6.920,
1779547312491,1,200,12.001,
1779547312491,1,200,7.819,
1779547312491,1,200,6.601,
1779547312494,1,200,8.889,
1779547312494,1,200,8.516,
1779547312495,1,200,6.099,
1779547312495,1,200,13.334,
1779547312496,1,200,12.815,
1779547312498,1,200,8.268,
1779547312498,1,200,7.610,
1779547312500,1,200,13.162,
1779547312500,1,200,15.321,
1779547312501,1,200,10.140,
1779547312501,1,200,12.721,
1779547312502,1,200,7.568,
1779547312503,1,200,7.492,
1779547312504,1,200,12.994,
1779547312505,1,200,7.607,
1779547312507,1,200,13.059,
1779547312508,1,200,10.094,
1779547312509,1,200,12.648,
1779547312510,1,200,15.439,
1779547312510,1,200,9.191,
1779547312511,1,200,11.314,
1779547312512,1,200,9.992,
1779547312513,1,200,11.086,
1779547312514,1,200,9.483,
1779547312515,1,200,15.401,
1779547312516,1,200,7.943,
1779547312517,1,200,6.444,
1779547312519,1,200,16.415,
1779547312519,1,200,9.496,
1779547312520,1,200,10.830,
1779547312520,1,200,12.734,
1779547312521,1,200,7.039,
1779547312522,1,200,9.909,
1779547312523,1,200,11.301,
1779547312523,1,200,17.779,
1779547312524,1,200,11.380,
1779547312525,1,200,8.613,
1779547312526,1,200,5.713,
1779547312527,1,200,11.871,
1779547312528,1,200,4.213,
1779547312530,1,200,7.942,
1779547312530,1,200,10.766,
1779547312531,1,200,8.195,
1779547312532,1,200,6.909,
1779547312533,1,200,12.678,
1779547312533,1,200,16.161,
1779547312533,1,200,6.939,
1779547312534,1,200,14.159,
1779547312535,1,200,16.132,
1779547312537,1,200,5.329,
1779547312538,1,200,6.968,
1779547312538,1,200,4.461,
1779547312539,1,200,15.655,
1779547312539,1,200,12.410,
1779547312541,1,200,8.067,
1779547312541,1,200,8.104,
1779547312542,1,200,11.443,
1779547312544,1,200,13.351,
1779547312544,1,200,6.854,
1779547312545,1,200,16.213,
1779547312545,1,200,11.946,
1779547312546,1,200,7.000,
1779547312548,1,200,10.141,
1779547312548,1,200,7.407,
1779547312550,1,200,8.906,
1779547312550,1,200,5.716,
1779547312550,1,200,6.319,
1779547312552,1,200,16.285,
1779547312552,1,200,13.969,
1779547312554,1,200,12.714,
1779547312555,1,200,15.827,
1779547312557,1,200,10.719,
1779547312558,1,200,12.195,
1779547312558,1,200,7.557,
1779547312558,1,200,8.483,
1779547312559,1,200,9.392,
1779547312560,1,200,8.323,
1779547312560,1,200,12.172,
1779547312561,1,200,16.179,
1779547312564,1,200,12.874,
1779547312566,1,200,7.958,
1779547312566,1,200,17.482,
1779547312567,1,200,11.981,
1779547312568,1,200,8.478,
1779547312569,1,200,7.929,
1779547312569,1,200,10.700,
1779547312569,1,200,14.998,
1779547312570,1,200,9.418,
1779547312570,1,200,11.969,
1779547312570,1,200,12.794,
1779547312571,1,200,10.754,
1779547312573,1,200,7.204,
1779547312576,1,200,9.666,
1779547312577,1,200,8.617,
1779547312578,1,200,11.676,
1779547312578,1,200,8.311,
1779547312578,1,200,7.089,
1779547312580,1,200,10.469,
1779547312580,1,200,10.743,
1779547312581,1,200,12.938,
1779547312582,1,200,11.744,
1779547312582,1,200,17.690,
1779547312583,1,200,4.526,
1779547312584,1,200,6.355,
1779547312584,1,200,7.917,
1779547312585,1,200,4.552,
1779547312586,1,200,8.430,
1779547312587,1,200,17.029,
1779547312588,1,200,14.980,
1779547312588,1,200,8.192,
1779547312590,1,200,4.327,
1779547312590,1,200,7.898,
1779547312591,1,200,11.331,
1779547312591,1,200,9.193,
1779547312592,1,200,3.723,
1779547312593,1,200,2.986,
1779547312596,1,200,6.226,
1779547312596,1,200,10.470,
1779547312597,1,200,13.132,
1779547312598,1,200,13.641,
1779547312599,1,200,11.195,
1779547312599,1,200,17.761,
1779547312600,1,200,21.795,
1779547312601,1,200,13.602,
1779547312602,1,200,9.500,
1779547312603,1,200,6.647,
1779547312603,1,200,3.615,
1779547312606,1,200,8.212,
1779547312606,1,200,15.217,
1779547312607,1,200,15.161,
1779547312608,1,200,7.489,
1779547312609,1,200,15.071,
1779547312609,1,200,11.350,
1779547312610,1,200,7.898,
1779547312611,1,200,11.562,
1779547312611,1,200,5.218,
1779547312612,1,200,11.300,
1779547312612,1,200,9.472,
1779547312612,1,200,16.117,
1779547312613,1,200,10.240,
1779547312616,1,200,9.257,
1779547312617,1,200,10.199,
1779547312618,1,200,9.037,
1779547312618,1,200,9.806,
1779547312619,1,200,9.503,
1779547312621,1,200,8.428,
1779547312621,1,200,8.080,
1779547312622,1,200,10.388,
1779547312622,1,200,11.724,
1779547312624,1,200,15.003,
1779547312625,1,200,12.128,
1779547312625,1,200,14.173,
1779547312626,1,200,8.349,
1779547312627,1,200,6.596,
1779547312628,1,200,8.666,
1779547312628,1,200,11.249,
1779547312629,1,200,11.143,
1779547312631,1,200,8.390,
1779547312631,1,200,9.682,
1779547312631,1,200,4.116,
1779547312632,1,200,16.043,
1779547312632,1,200,10.399,
1779547312633,1,200,9.251,
1779547312635,1,200,4.211,
1779547312636,1,200,7.068,
1779547312637,1,200,5.967,
1779547312638,1,200,12.518,
1779547312638,1,200,6.821,
1779547312639,1,200,6.830,
1779547312639,1,200,11.256,
1779547312641,1,200,7.398,
1779547312641,1,200,15.268,
1779547312642,1,200,9.697,
1779547312643,1,200,6.461,
1779547312644,1,200,5.521,
1779547312645,1,200,20.760,
1779547312647,1,200,4.563,
1779547312648,1,200,9.715,
1779547312649,1,200,4.993,
1779547312649,1,200,7.732,
1779547312650,1,200,9.251,
1779547312650,1,200,12.310,
1779547312652,1,200,12.364,
1779547312652,1,200,6.711,
1779547312654,1,200,5.216,
1779547312655,1,200,11.693,
1779547312655,1,200,18.114,
1779547312655,1,200,5.552,
1779547312656,1,200,8.974,
1779547312658,1,200,9.679,
1779547312658,1,200,30.188,
1779547312659,1,200,9.827,
1779547312660,1,200,4.347,
1779547312660,1,200,24.981,
1779547312661,1,200,9.199,
1779547312662,1,200,11.248,
1779547312664,1,200,5.758,
1779547312665,1,200,4.188,
1779547312666,1,200,10.551,
1779547312667,1,200,11.495,
1779547312668,1,200,13.648,
1779547312669,1,200,14.195,
1779547312669,1,200,7.282,
1779547312672,1,200,6.833,
1779547312672,1,200,13.186,
